S.No,MEDV
1,37.6
2,27.9
3,22.6
4,13.8
5,35.2
6,10.4
7,23.9
8,29
9,22.8
10,23.2
11,33.2
12,19
13,20.3
14,36.1
15,24.4
16,17.2
17,17.9
18,19.6
19,19.7
20,15
21,8.1
22,23
23,44.8
24,23.1
25,32.2
26,10.8
27,23.1
28,21.2
29,22.2
30,24.1
31,17.3
32,7
33,12.7
34,17.8
35,26.4
36,19.6
37,25.1
38,8.3
39,48.8
40,34.9
41,13.8
42,14.4
43,30.1
44,12.7
45,27.1
46,24.8
47,7
48,20.5
49,21.5
50,14
51,20.4
52,22.2
53,21.4
54,13.5
55,19.4
56,24.7
57,43.8
58,14.1
59,28.6
60,19.7
61,16.8
62,23.2
63,16.2
64,41.3
65,22.7
66,8.3
67,18.4
68,24.7
69,21.7
70,20.6
71,16.7
72,22.1
73,19.4
74,27.5
75,27.9
76,30.1
77,17.4
78,15.4
79,31
80,14.2
81,19.6
82,50
83,21.7
84,11.7
85,19.4
86,13
87,17.5
88,9.7
89,20.3
90,18.6
91,50
92,19.6
93,21.4
94,18.4
95,22.6
96,25
97,15.6
98,26.6
99,22.4
100,13.1
101,23
102,24.5
