S.No,LSTAT,RM,MEDV
1,18.35,5.701,13.1
2,3.16,7.923,50
3,20.62,5.957,8.8
4,9.08,6.12,20.6
5,20.31,6.404,12.1
6,3.26,4.97,50
7,7.43,6.162,24.1
8,12.64,4.973,16.1
9,7.18,6.696,23.9
10,11.65,5.981,24.3
11,17.12,6.471,13.1
12,8.61,7.107,30.3
13,17.73,6.655,15.2
14,27.8,6.13,13.8
15,13.98,5.604,26.4
16,18.8,6.03,16.6
17,17.1,6.004,18.9
18,12.5,5.593,17.6
19,9.29,5.968,18.7
20,6.47,7.42,33.4
21,6.75,6.31,20.7
22,12.43,5.706,17.1
23,8.43,5.998,23.4
24,7.67,6.781,26.5
25,13.22,6.209,21.4
26,17.92,5.951,21.5
27,10.3,6.021,19.2
28,2.97,7.875,50
29,1.92,7.802,50
30,10.5,6.373,23
31,22.11,5.818,10.5
32,18.46,6.151,17.8
33,21.08,6.545,10.9
34,12.73,6.113,21
35,18.14,5.427,13.8
36,28.28,4.652,10.5
37,6.73,6.456,22.2
38,4.69,6.739,30.5
39,11.72,6.023,19.4
40,15.02,6.152,15.6
41,11.69,5.456,20.2
42,9.97,5.868,19.3
43,6.62,7.274,34.6
44,8.88,5.875,50
45,4.98,6.575,24
46,13.15,5.741,18.7
47,12.27,6.474,19.8
48,4.97,6.345,22.5
49,21.32,5.857,13.3
50,2.96,7.016,50
51,23.98,6.459,11.8
52,21.52,6.193,11
53,7.74,6.75,23.7
54,4.81,7.249,35.4
55,18.06,5.454,15.2
56,5.9,6.487,24.4
57,2.94,6.998,33.4
58,6.36,7.163,31.6
59,17.44,6.749,13.4
60,4.56,6.975,34.9
61,30.81,5.399,14.4
62,4.59,6.968,35.4
63,5.81,6.169,25.3
64,15.76,5.928,18.3
65,14.81,5.813,16.6
66,23.27,6.629,13.4
67,5.5,7.007,23.6
68,7.12,3.561,27.5
69,11.22,6.358,22.2
70,14.65,6.376,17.7
71,18.34,5.637,14.3
72,15.71,5.889,21.7
73,22.74,6.824,8.4
